P,land,soil,ET,I,R
1,open_water,0,0.0,0.0,0.9999999999999999
1,open_water,1,0.0,0.0,0.9999999999999999
1,open_water,2,0.0,0.0,0.9999999999999999
1,open_water,3,0.0,0.0,0.9999999999999999
1,developed_open,0,0.36804599999999993,0.631954,0.0
1,developed_open,1,0.36804599999999993,0.631954,0.0
1,developed_open,2,0.36804599999999993,0.6250046746747149,0.0069493253252851245
1,developed_open,3,0.36804599999999993,0.5925161860425653,0.03943781395743469
1,developed_low,0,0.22082759999999999,0.12624391117029313,0.6529284888297068
1,developed_low,1,0.22082759999999999,0.12624391117029313,0.6529284888297068
1,developed_low,2,0.22082759999999999,0.12624391117029313,0.6529284888297068
1,developed_low,3,0.22082759999999999,0.12624391117029313,0.6529284888297068
1,developed_med,0,0.08645798200029889,0.0,0.913542017999701
1,developed_med,1,0.08645798200029889,0.0,0.913542017999701
1,developed_med,2,0.08645798200029889,0.0,0.913542017999701
1,developed_med,3,0.08645798200029889,0.0,0.913542017999701
1,developed_high,0,0.030582034668713044,0.0,0.9694179653312869
1,developed_high,1,0.030582034668713044,0.0,0.9694179653312869
1,developed_high,2,0.030582034668713044,0.0,0.9694179653312869
1,developed_high,3,0.030582034668713044,0.0,0.9694179653312869
1,barren_land,0,0.0,0.9999999999999999,0.0
1,barren_land,1,0.0,0.9930506746747148,0.0069493253252851245
1,barren_land,2,0.0,0.9930506746747148,0.0069493253252851245
1,barren_land,3,0.0,0.9177357533659563,0.08226424663404358
1,deciduous_forest,0,0.36804599999999993,0.631954,0.0
1,deciduous_forest,1,0.36804599999999993,0.631954,0.0
1,deciduous_forest,2,0.36804599999999993,0.631954,0.0
1,deciduous_forest,3,0.36804599999999993,0.631954,0.0
1,shrub,0,0.52578,0.47422,0.0
1,shrub,1,0.52578,0.47422,0.0
1,shrub,2,0.52578,0.47422,0.0
1,shrub,3,0.52578,0.47422,0.0
1,grassland,0,0.31546799999999997,0.684532,0.0
1,grassland,1,0.31546799999999997,0.684532,0.0
1,grassland,2,0.31546799999999997,0.684532,0.0
1,grassland,3,0.31546799999999997,0.684532,0.0
1,pasture,0,0.31546799999999997,0.684532,0.0
1,pasture,1,0.31546799999999997,0.684532,0.0
1,pasture,2,0.31546799999999997,0.684532,0.0
1,pasture,3,0.31546799999999997,0.684532,0.0
1,cultivated_crops,0,0.473202,0.526798,0.0
1,cultivated_crops,1,0.473202,0.526798,0.0
1,cultivated_crops,2,0.473202,0.5244607531464099,0.0023372468535900505
1,cultivated_crops,3,0.473202,0.48736018604256526,0.03943781395743469
1,woody_wetlands,0,0.52578,0.0,0.47422
1,woody_wetlands,1,0.52578,0.0,0.47422
1,woody_wetlands,2,0.52578,0.0,0.47422
1,woody_wetlands,3,0.52578,0.0,0.47422
3,open_water,0,0.0,0.0,3.0
3,open_water,1,0.0,0.0,3.0
3,open_water,2,0.0,0.0,3.0
3,open_water,3,0.0,0.0,3.0
3,developed_open,0,0.36804599999999993,2.602390852021198,0.029563147978801944
3,developed_open,1,0.36804599999999993,2.308054597552575,0.32389940244742504
3,developed_open,2,0.36804599999999993,1.8833649533134644,0.7485890466865354
3,developed_open,3,0.36804599999999993,1.610986240035111,1.0209677599648888
3,developed_low,0,0.22082759999999999,2.040701593730995,0.7384708062690047
3,developed_low,1,0.22082759999999999,2.040701593730995,0.7384708062690047
3,developed_low,2,0.22082759999999999,2.040701593730995,0.7384708062690047
3,developed_low,3,0.22082759999999999,2.040701593730995,0.7384708062690047
3,developed_med,0,0.09464039999999999,1.186230018634967,1.7191295813650327
3,developed_med,1,0.09464039999999999,1.186230018634967,1.7191295813650327
3,developed_med,2,0.09464039999999999,1.186230018634967,1.7191295813650327
3,developed_med,3,0.09464039999999999,1.186230018634967,1.7191295813650327
3,developed_high,0,0.0315468,0.4865890157825009,2.481864184217499
3,developed_high,1,0.0315468,0.4865890157825009,2.481864184217499
3,developed_high,2,0.0315468,0.4865890157825009,2.481864184217499
3,developed_high,3,0.0315468,0.4865890157825009,2.481864184217499
3,barren_land,0,0.0,2.757641732801822,0.2423582671981778
3,barren_land,1,0.0,2.2514109533134645,0.7485890466865354
3,barren_land,2,0.0,2.2514109533134645,0.7485890466865354
3,barren_land,3,0.0,1.754824664674625,1.2451753353253747
3,deciduous_forest,0,0.36804599999999993,2.631954,0.0
3,deciduous_forest,1,0.36804599999999993,2.631954,0.0
3,deciduous_forest,2,0.36804599999999993,2.5741250939134073,0.057828906086592656
3,deciduous_forest,3,0.36804599999999993,2.389595732801822,0.2423582671981778
3,shrub,0,0.52578,2.47422,0.0
3,shrub,1,0.52578,2.47422,0.0
3,shrub,2,0.52578,2.4163910939134072,0.057828906086592656
3,shrub,3,0.52578,2.231861732801822,0.2423582671981778
3,grassland,0,0.31546799999999997,2.6845319999999995,0.0
3,grassland,1,0.31546799999999997,2.6845319999999995,0.0
3,grassland,2,0.31546799999999997,2.6087995557758976,0.07573244422410201
3,grassland,3,0.31546799999999997,2.4032386537753725,0.2812933462246276
3,pasture,0,0.31546799999999997,2.6845319999999995,0.0
3,pasture,1,0.31546799999999997,2.6845319999999995,0.0
3,pasture,2,0.31546799999999997,2.5389075313048415,0.14562446869515835
3,pasture,3,0.31546799999999997,2.314123584158416,0.370408415841584
3,cultivated_crops,0,0.473202,2.5077398829027104,0.01905811709728921
3,cultivated_crops,1,0.473202,2.2455046537753725,0.2812933462246276
3,cultivated_crops,2,0.473202,1.8549311567996978,0.671866843200302
3,cultivated_crops,3,0.473202,1.505830240035111,1.0209677599648888
